TASK,category,,
Application DBA account,automatable,,
All other accounts,automatable,,
Grant access rights on SYS and non-SYS objects,automatable,,
Monitor database log files for errors.,automatable,,
Monitor database backups,automatable,,
Monitor database related OS/network  parameters,automatable,,
Monitor free space availability on the database server,automatable,,
Monitor growth rate of database objects and proactively resolve space related errors.,automatable,,
Monitor RDBMS log files and archive them in a timely fashion,automatable,,
Monitor mount points to keep free space available on which RDBMS files and database files are located.,automatable,,
"Ensure availability of instance/database, listeners, log files, space of log files, and other RDBMS related processes.",automatable,,
Perform re-indexing as necessary to improve database performance.,automatable,,
Monitor database backup and resolve failed backups.,automatable,,
Perform refresh/cloning/rebuilding of database ,automatable,,
Application DBA account,automatable,,
Monitor database log files for errors.,automatable,,
Monitor database backups,automatable,,
Monitor database related OS/network  parameters,automatable,,
Monitor free space availability on the database server,automatable,,
Monitor growth rate of database objects and proactively resolve space related errors.,automatable,,
Monitor RDBMS log files and archive them in a timely fashion,automatable,,
Monitor mount points to keep free space available on which RDBMS files and database files are located.,automatable,,
"Ensure availability of instance/database, listeners, log files, space of log files, and other RDBMS related processes.",automatable,,
Perform re-indexing as necessary to improve database performance.,automatable,,
"Generate statistics as needed for improved program, for example, run Analyze statement in Oracle.",automatable,,
Archive log management,automatable,,
Password Reset,automatable,,
To Add Server to Domain,automatable,,
Configuring Disk Arrays and RAID Levels ,automatable,,
Disk & File Systems Cleanups,automatable,,
Setting up directory / folder shares,automatable,,
Administering print queues,automatable,,
Disk space and paging space management,automatable,,
Memory Utilization,automatable,,
Install and configure backup client software,automatable,,
"Install, start and stop IIS (configuration and administration of IIS is on best effort basis and website management and recovery processes to be managed by the website owner/developer.",automatable,,
Identify and install Windows patches,automatable,,
"Installing the Software  like support tools, admin pack, Windows Service packs etc.",automatable,,
"Basic Troubleshooting system N/W issues using tools like ipconfig, traceroute , nslookup etc. ",automatable,,
"Conduct testing and verification of requirements, ensure server built to specifications.",automatable,,
Identify the network card that is installed on the system.,automatable,,
Change server name,automatable,,
Change domain,automatable,,
ICA Client Setup/Configuration,automatable,,
Checking server Event Logs,automatable,,
Verifying Servers in the farm connection through CMC,automatable,,
Generate Monthly Performance Analysis report,automatable,,
Alerts for Servers,automatable,,
Citrix Servers Auto Reboot,automatable,,
Duplicate account validation and user id suggestion,automatable,,
All temporary user account has to be extended for every 30days.,automatable,,
Daily new hire and termination validation,automatable,,
Creating/Deleting/disable User/machine Accounts,automatable,,
AD object Count,automatable,,
AD Report generation for predefined paramters in CSV format,automatable,,
Hardening Linux OS ,automatable,,
Reset locked/unlock user account,automatable,,
Check the File System status ,automatable,,
check/start/stop/ NFS Demons,automatable,,
Monitor File System Usage  - using df and du commands,automatable,,
"Listing Virtual Memory - swapon,free commands",automatable,,
Check Patch/packages,automatable,,
collect system config ( physical standalone/vm/cluste node(redhat/suse/vcs)/satellite/DB/SAN coonected),automatable,,
Collect system config in RHEL and SUSE template,automatable,,
Check print queues template,automatable,,
View/List System Processes,automatable,,
"Check Jombie process - using  top,ps commands.",automatable,,
Export/Un-export NFS filesystems,automatable,,
Configure syslog Messaging,automatable,,
Configure and Monitor Bonding/Bridge/Bridge Bonding - (3 predefined parameters ),automatable,,
Analysis of performance utilization  - based on disk and cpu usage ,automatable,,
scan LUNs ( local and Storage disk) details,automatable,,
List Disk details and their atrribs (UUID) ,automatable,,
List HBA and their ports,automatable,,
Persisten naming for SAN Lun - On systems not using multipath ,automatable,,
Enable and diable multipath,automatable,,
Sendmail Client configuration,automatable,,
Listing all the Host Bus Adapters including iSCSI,automatable,,
Zone Configuration backup,automatable,,
SRM LUN validation,automatable,,
Performance report for 3PAR,automatable,,
Switch port health report,automatable,,
Storage space utilization report,automatable,,
Switch port utilization report,automatable,,
Host and LUN ID report from 3PAR,automatable,,
Storage map update,automatable,,
Storage inactive host report,automatable,,
Inactivie zone report,automatable,,
Serverwise space utilization report,automatable,,
SAN switch port up down status,automatable,,
Automatic DB startup after server restart for 12c DBs,automatable,,
Automatic DB startup after server restart for 11g DBs,automatable,,
Privilege Provisioning for DB Users,automatable,,
export of schemas,automatable,,
import of schemas,automatable,,
Check database status  ,automatable,,
Check listener status,automatable,,
Check log files for errors,automatable,,
Tablespace  - monitors tablespace using the predefined db query,automatable,,
Mount points where Oracle data files located,automatable,,
Mount points where Oracle Home is located,automatable,,
Generating AWR report,automatable,,
Add/Modify/Delete DB link,automatable,,
"Maintenance of log files (Alert, Listener, Trace etc.)",automatable,,
Monitor blocking sessions,automatable,,
Monthly Audit SOX Report,automatable,,
BGP state change alert,automatable,,
EIGRP state change alert ,automatable,,
Discover the system as part of domain network,automatable,,
Identify the scope of operating system version,automatable,,
Altiris agent remote install for windows workstations and windows servers,automatable,,
Plugins component install for windows workstations and windows servers,automatable,,
Create a filter for pilot group of systems and windows development servers,automatable,,
Create a filter for production windows workstations  and windows production servers,automatable,,
To check the agent health status,automatable,,
To check agent last configuration scan date,automatable,,
Ensure that all the mandatory roles are installed,automatable,,
Download the monthly security updates from microsoft to altiris catalog,automatable,,
Select the security updates and create a patch policy,automatable,,
Target the monthly patch policy to respective filters,automatable,,
Create a patch schedule policy and target to respective filter,automatable,,
set the force reboot policy to windows workstations,automatable,,
monitor the patch compliance report for targeted filters,automatable,,
Validate the patch compliance and reboot status for workstations and windows servers,automatable,,
Validate the reboot confirmation using reboot script and Patch report from altiris console ,automatable,,
send the reboot status report to DC operation team,automatable,,
Disk space alerts,automatable,,
CPU & Memory usage report ,automatable,,
Firmware Installation/Upgrade,automatable,,
Data store status check,automatable,,
Creating VMs using Templates,automatable,,
Host Profile Configuration,automatable,,
"VMware alert - Host, Memory and Data store Disk Usage",automatable,,
c drive cleanup,automatable,,
CUCM critical services monitoring,automatable,,
911 Alert Monitoring,automatable,,
Call Forwarding in IP Phones,automatable,,
AD Replication status,automatable,,
DNS Health Status,automatable,,
SPN creation,automatable,,
SPN Delegation,automatable,,
Account Lockout,automatable,,
Password reset for Non user account,automatable,,
GPO Backup,automatable,,
LDAP Testings,automatable,,
Domain Controller Unavailable,automatable,,
Domain Controller monitoring,automatable,,
Creating/Deleting/disable User/machine Accounts,automatable,,
Time Sync check & resync,automatable,,
Moving the users from on OU to another OU,automatable,,
FRS/DFSR replication Status,automatable,,
Creating the resource record under DNS,automatable,,
AD object Count,automatable,,
Local Admin group management by GPO,automatable,,
Daily Health check -Actions ,automatable,,
Drive HP.ULTRIUM* is Down,automatable,,
NBU-CATALOG-BACKUP completed  on client,automatable,,
NBU completed  on client with Exit Status 58,automatable,,
Backup failure due to access issue,automatable,,
Netback Service Recycle,automatable,,
Netbackup client upgrade,automatable,,
Ad-hoc backup request,automatable,,
Backup status reporting,automatable,,
XenApp Servers Logons and Loads Report Analysis,automatable,,
XenApp Servers Vdisk Cache & Drive Space report,automatable,,
XenApp Server Scheduled Reboot,automatable,,
Cisco Prime alerts via Spectrum,automatable,,
Alerts from Email,automatable,,
HP-SIM hardware alerts monitoring,automatable,,
Alert Acknowledgement,automatable,,
Reports Daily,automatable,,
Reports Weekly,automatable,,
GMB Access,automatable,,
DL Access,automatable,,
InterDomain Mailbox Move,automatable,,
Mailbox Export/Restore Request,automatable,,
DL Owner or Permission change,automatable,,
DAG Failover/ DB Status check/Service restart,automatable,,
Restart exchange services,automatable,,
Exchange service failover ,automatable,,
Set of OOO,automatable,,
Change DL co-ownner,automatable,,
DAG Health status,automatable,,
O365 Distribution List Members Modification,automatable,,
O365 License Assigning,automatable,,
Exchange Queue status,automatable,,
Exchange Server Drive Space Status,automatable,,
Exchange Database Backup Status,automatable,,
RightFax Server Health Checkup,automatable,,
DL Creation and add Member,automatable,,
Exchange Certificate Status,automatable,,
Monaco & Fiji User Provisioning,automatable,,
SCCM Report Automation,automatable,,
McAfee AV DAT compliance ,automatable,,
McAfee threat report,automatable,,
 Email threat report,automatable,,
 FireEye threat reports,automatable,,
Web policy violation report,automatable,,
 Malware detection report (Firewall),automatable,,
Intrusion detection report (Firewall),automatable,,
 Symantec  threat report,automatable,,
 Ransomware detection report,automatable,,
Daily malware ticket report,automatable,,
ArcSight Health check report,automatable,,
Symantec AV DAT report,automatable,,
Backup/Restore sites,automatable,,
Health analyzer reports,automatable,,
SharePoint site inventory,automatable,,
Sitecollections administrators list,automatable,,
Skype Environment Health,automatable,,
Office Web App Helath status,automatable,,
Key Health index report,automatable,,
DFS File Store Status,automatable,,
Drive space report,automatable,,
Backup status,automatable,,
Adding users to Persistant chat,automatable,,
"Presence, IM, AV health status",automatable,,
Certificates status,automatable,,
CMS store replication status,automatable,,
Users registrar Per pool status,automatable,,
SQL Mirroring Status,automatable,,
Skype services restart,automatable,,
Report future expansion of size/ rate of growth,automatable,,
Raw capacity report,automatable,,
Chargeback reports,automatable,,
Check on volume space allocations versus actual utilized to avoid excess allocation of space and reclaim back,automatable,,
Replication status,automatable,,
Configure hardware failure alert,automatable,,
Audit log Monitoring,automatable,,
Netapp Aggregate Report,automatable,,
Netapp failed Disk report,automatable,,
Netapp Deduplication status,automatable,,
Netapp volume growth,automatable,,
Netapp Snapmirror status,automatable,,
Netapp LUN latency,automatable,,
Netapp snapshot checks,automatable,,
Create and export a volume as a NFS share  ,automatable,,
Creating Volume,automatable,,
Creating Lun,automatable,,
increasing /decreasing size of Lun,automatable,,
Qtree/ Exports Management/CIFS Share/NFS export,automatable,,
Quota Management (Hard/Soft),automatable,,
HRIS information update in Tangoe,automatable,,
Linux Installation via DVD media,automatable,,
Implementing OS Upgrade,automatable,,
Add/Remove/modify users,automatable,,
Add/Remove/modify groups,automatable,,
File System Housekeeping,automatable,,
Resolve File System Inconsistencies - fsck run on single user/partitions,automatable,,
Configuring Swap Space,automatable,,
Changing Swap spaces dynamically,automatable,,
Add/Remove/Modify Volume Group,automatable,,
Add/Remove/Modify Logical Volume,automatable,,
Add/Remove/Modify physical volumes to existing volume group,automatable,,
Check Patch/packages,automatable,,
Install/Freshen/upgrade/remove packages,automatable,,
Install Patch/packages from Yum Repo,automatable,,
Check/Start/Stop/ NFS daemons,automatable,,
Export/Un-export NFS filesystems,automatable,,
Managing the NFS Client,automatable,,
Managing  syslog report,automatable,,
Monitor CPU Utilization,automatable,,
Monitor Memory Utilization,automatable,,
scan LUNs ( local and Storage Disk) details,automatable,,
Vmware Tools Installation/Upgrade,automatable,,
Check the File System status,automatable,,
File System Housekeeping (like Disk Usage and Free Space)  (3 predefined parameters),automatable,,
Listing of Swap space and device,automatable,,
Attached  & Deattached Disk  from SVM.,automatable,,
Monitor CPU Utilization ,automatable,,
Monitor I/O Utilization,automatable,,
Multipathing configuration -using the existing commands ,automatable,,
Solaris Patching ,automatable,,
Virtual Server Build ,automatable,,
"Software Upgrades ( VxVM, Powerpath, Vormetric)",automatable,,
Install and upgrade firmware using existing command lines,automatable,,
Administating File and Directory & Special permissions,automatable,,
Resolve File System Inconsistencies,automatable,,
Monitor File System Usage  (3 predefined parameters),automatable,,
Mirror and Unmirroring OS Disk ,automatable,,
Adding Print queues (/etc/hosts entries),automatable,,
Create/Delete/Modifiy print queues,automatable,,
Scheduling an Automatic Recurring Execution of processes,automatable,,
Terminate Processes with kill,automatable,,
Administrering Zones using Home grown Clusters,automatable,,
Start/Stop of SAP Cis during Server Reboot (Patching),automatable,,
Reset locked/unlock user account,automatable,,
File System Housekeeping,automatable,,
Start/Stop syslogd daemon,automatable,,
Monitor CPU Utilization,automatable,,
Monitor the I/O Utilization,automatable,,
Analysis of performance utilization,automatable,,
Installing filesets,automatable,,
AIX Upgrades,automatable,,
C: Drive housekeeping Automation,automatable,,
Service health check/restart,automatable,,
Host down/Failed to connect/contact server,automatable,,
CPU Utilization,automatable,,
Memory Utilization,automatable,,
Disk Utilization,automatable,,
Unable to Access/Ping/RDP server,automatable,,
Windows Physical /Virtual Server Reboot ,automatable,,
vCenter Daily Health Check ,automatable,,
vCenter Capacity Management,automatable,,
Post Patching health check,automatable,,
Cluster failover monitoring,automatable,,
Server RU data,automatable,,
Windows availability report,automatable,,
Monitoring Emails Alerts,automatable,,
Snow incident/Task Aging report,automatable,,
UAT component check,automatable,,
Daily Reboot Status,automatable,,
Moving Servers into maintainance - Tools,automatable,,
Monitoring/Creating Incidents for Infrastructure alerts,automatable,,
Monitoring the TSM DB backup status,automatable,,
VDI Reboots,automatable,,
Callidus Software,automatable,,
SEPM DB Connectivity,automatable,,
SEP server Time Misconfiguration,automatable,,
SEP AV definitions out of date,automatable,,
SEP DB backup,automatable,,
SEP Hung Lucomserver (Liveupdate),automatable,,
SEP Windows service failure,automatable,,
SEP License expiry,automatable,,
SEP License over deployed,automatable,,
SEP Syslog configuration for SEPM,automatable,,
Operator Lockout,automatable,,
Allocation/Deallocation Alert,automatable,,
Lost Token Report automation,automatable,,
Enrolment Lock out,automatable,,
Hardware Assignment Notification,automatable,,
Provisioning Notification,automatable,,
LDAP Sync Notification,automatable,,
Database and log backup configuration,automatable,,
Special database backup management,automatable,,
Monitor storage pool,automatable,,
Backup Window monitoring and analysis,automatable,,
Daily backup report generation,automatable,,
Database / recovery log space monitoring,automatable,,
Deployment of TSM server,automatable,,
All media servers are up and running,automatable,,
Check the space of availability on master and media servers,automatable,,
All clients backup / duplicate / restore failures from last 24 hours,automatable,,
Check for hung jobs from last 24 hours,automatable,,
Check for disk pools status,automatable,,
Check for disk pools availability free space status,automatable,,
Check for scratch tapes available on site,automatable,,
Check for catalog backup status,automatable,,
Backup status reports ,automatable,,
Backup success report,automatable,,
Event reports,automatable,,
"Backup server, Media Server , Tape library availability",automatable,,
Check that all the clients which are configured in backup rotation are Getting jobs triggered everyday without fail make sure we are not Missing any day backup,automatable,,
Restore/ Recovery report,automatable,,
Deduplication Statistics reports,automatable,,
Linux Installation via DVD media,automatable,,
"Linux Installation using Kick Start/PXE - Kickstart,DHCP,TFTP",automatable,,
Hardening Linux OS ,automatable,,
Reset locked/unlock user account,automatable,,
Add/Remove/modify users,automatable,,
Add/Remove/modify groups,automatable,,
Add/Delete/Modify Sudo/ACL/ &Display; access,automatable,,
Administating File and Directory & Special permissions,automatable,,
Check the File System status - stat command,automatable,,
File System Housekeeping,automatable,,
Resolve File System Inconsistencies - fsck run on single user/partitions,automatable,,
Monitor File System Usage  - using df and du commands,automatable,,
Listing of paging device,automatable,,
Restore and Recovery ,automatable,,
"Listing Virtual Memory - swapon,free commands",automatable,,
Changing Swap spaces dynamically,automatable,,
"Managing Crash Dump size - using kdump, crash utility.",automatable,,
Managing Core File Behavior,automatable,,
Setting dump device parameters,automatable,,
Add/Remove/Modify Volume Group,automatable,,
Add/Remove/Modify Logical Volume,automatable,,
Add/Remove/Modify physical volumes to existing volume group,automatable,,
Migrate LVs from one PV to other PV,automatable,,
Mount/Unmount NFS exported filesystems,automatable,,
Install/Freshen/upgrade/remove packages,automatable,,
Install Patch/packages from Yum Repo,automatable,,
Install patch/packages from Satellite Server/SuSe Manager,automatable,,
collect system config ( physical standalone/vm/cluste node(redhat/suse/vcs)/satellite/DB/SAN coonected),automatable,,
Collect config after reboot ( Same) -etc config file ,automatable,,
Monitor System Access - 3 predefined parameters ,automatable,,
Set umasks ,automatable,,
Kill Frozen/Defunct Processes,automatable,,
Add/Remove enteries in /etc/crontab,automatable,,
Scheduling an Automatic Recurring Execution of processes,automatable,,
"Check Jombie process - using  top,ps commands.",automatable,,
"Recover from hung process using top,ps commands.",automatable,,
Check/Start/Stop/ NFS daemons,automatable,,
Export/Un-export NFS filesystems,automatable,,
Managing the NFS Client,automatable,,
Enabling the NFS Server Logging,automatable,,
Configure syslog Messaging,automatable,,
Monitor Network Interfaces - using commands like ip link show for 3 predefined params,automatable,,
Configure and Monitor Bonding/Bridge/Bridge Bonding - (3 predefined parameters ),automatable,,
Monitor network adapter routing  - (3 predefined parameters ),automatable,,
Monitor Network ports redundancy - using the utility like ifenslave ,automatable,,
Tuning of  RHEL/SLES OS - 3 predefined tuning steps  ,automatable,,
sysctl parmeters supported/change,automatable,,
ulimit supported/change,automatable,,
max connections supported (ssh/nfs/ftp etc),automatable,,
device error strings,automatable,,
scan LUNs ( local and Storage disk) details,automatable,,
List Disk details and their atrribs (UUID) ,automatable,,
List HBA and their ports,automatable,,
Check status and change mulipath policy,automatable,,
Tivoli,automatable,,
Check status/Monitoring/quorate state - (3 predefined parameters ),automatable,,
Configuration of AIX 6.1/7.1,automatable,,
Add/modify users,automatable,,
Remove user,automatable,,
Administating File and Directory & Special permissions,automatable,,
Check the File System status,automatable,,
File System Housekeeping,automatable,,
Resolve File System Inconsistencies,automatable,,
Migrate LVs from one PV to other PV,automatable,,
Setup MPIO,automatable,,
Install/Un-install Multipathing Software,automatable,,
Install file sets,automatable,,
Monitor System Access,automatable,,
View/List System Processes,automatable,,
Kill Frozen/Defunct Processes,automatable,,
Scheduling an Automatic Recurring Execution of processes,automatable,,
Recover from hung process,automatable,,
monitor CPU Utilization,automatable,,
monitor Memory Utilization,automatable,,
Create LPAR,automatable,,
Recover of the  root password ,automatable,,
Update Resources under NIM,automatable,,
Backup of VIO ,automatable,,
Monthly MKSYSB Backup of all servers,automatable,,
Storage Migration- Host Level,automatable,,
Managing proof point anti-spam and content filtering tool.,automatable,,
AutoReply Agent Enablement,automatable,,
Monitor email servers and applications,automatable,,
Mail Tracking of Mails,automatable,,
Mail Journling of Users Email,automatable,,
Verification of Installation status of patches in server based on KB numbers,automatable,,
Connectivity to Host and switch,automatable,,
Enable auto tiering,automatable,,
Create snapshot,automatable,,
Enable NDMP,automatable,,
Usable capacity Trend,automatable,,
Configure hardware failure alert,automatable,,
IOPS  to LUN report,automatable,,
Storage performance trend report,automatable,,
"Analyze performance of storage ports, disks",automatable,,
Analyze performance of cache boards and replications used,automatable,,
Migrate data from lower tier to higher tier,automatable,,
Datastore utilisation monitoring,automatable,,
Adding users into a Group,automatable,,
To delete a computer account,automatable,,
Windows Server Decommission,automatable,,
To reset the user password,automatable,,
Execute Script/Tool validation,automatable,,
Terminate disconnected Citrix session,automatable,,
Export folder permissions,automatable,,
Backup- Scratch count checking,automatable,,
Backup-Checking Error Tapes,automatable,,
Disk Drive space,automatable,,
Monitoring the strorage pool utilization,automatable,,
Addition of RADIUS clients on RADIUS server,automatable,,
Device configuration backup,automatable,,
Mothly AD Cleanup Alert,automatable,,
event alert incident creation,automatable,,
Password Reset,automatable,,
Troubleshoot the local user account,automatable,,
Account lockout Mgmt.,automatable,,
Adding users into a Group,automatable,,
Printer Management,automatable,,
Monthly Reports,automatable,,
Billing Register ,automatable,,
SCCM Client Push ,automatable,,
"License assignation for E4, E3",automatable,,
offboarding and Licnse removal in office 365 ,automatable,,
Apply patch - patches using utility like opatch ,automatable,,
Monitor free space at Database level [ Tablespace/Table] ,automatable,,
Housekeeping of Filesystem on linux and windows servers. ,automatable,,
Disk Management,automatable,,
monitor missing indexes,automatable,,
DB Growth,automatable,,
capacity billing report,automatable,,
"Create , Edit, Delete or Copy Policies",automatable,,
adding clients in the policy,automatable,,
Tape Erase and Label operations,automatable,,
Clearing the unwanted Logs from server,automatable,,
Backup client list,automatable,,
 Capacity license ,automatable,,
Backup Failure Dump report,automatable,,
Backup Audit,automatable,,
Create and export a volume as a NFS share ,automatable,,
storage billing report,automatable,,
creating volume,automatable,,
drive space utilization,automatable,,
Mobile Device Counts-Countrywise,automatable,,
GAM Daily Report,automatable,,
ACD Daily Report,automatable,,
Health Check of IPT Devices,automatable,,
Device Configuration backup automation,automatable,,
DB Report on Library cache statistics ,automatable,,
Check Indexes/Tables which are candidates for rebuilding ,automatable,,
Check stale statistics on Oracle 10g and above,automatable,,
Check if sessions are reaching the High Water Mark ,automatable,,
DB Report on switch loghistory for a specific database,automatable,,
DB report on SQLs not using bind variables,automatable,,
DB report on Tracking failed logon attempts for a specific Database,automatable,,
Fragmentation Report on Application user schemas,automatable,,
Monthly Report on Archive log generation calendar view  for specific Database,automatable,,
Database Availability Report,automatable,,
Report on users objects that is stored in SYSTEM tablespace,automatable,,
SQL Server Admin Access Report,automatable,,
SQL Server ,automatable,,
SQL Server Weekly Maintenance Job Status Report,automatable,,
SQL Server database backup Report ,automatable,,
Monthly Capacity Planning Reports,automatable,,
Health check on Cisco Switches,automatable,,
Health check on Brocade Switches,automatable,,
Health check on VMAX,automatable,,
Healthcheck on Supercluster,automatable,,
Healthcheck on VNX,automatable,,
 DELL Equallogic capacity report,automatable,,
Healthcheck on PURE Arrays,automatable,,
Switch port Bandwidth utilization,automatable,,
VNX-Lun performance,automatable,,
Checking the redundancy for PURE arrays,automatable,,
Checking redundancy for VMAX,automatable,,
Vmax capacity report,automatable,,
Servers Backed Up - Compare with CMDB,automatable,,
DD mountpoints- Active connections,automatable,,
NBU Client Validation,automatable,,
Long Running Jobs,automatable,,
Media server status,automatable,,
Tape libray status - bring online if its down,automatable,,
Space on Filesystem on master Server,automatable,,
"DiskPool/storage server validation  status UP Or down, If down need to bring up automatially",automatable,,
Audit report - New plociy creation/deletion & client addition/Deletion & schedule change,automatable,,
Admin/privilege Accounts Report,automatable,,
Standard UNIX TSR Alert - Solaris/RHEL/SUSE TSR - Technical Security Requirement,automatable,,
Password Policy Alert Report,automatable,,
Open Console Session Alerts,automatable,,
User Account Password Reset,automatable,,
User Account Unlock,automatable,,
File System New/Resize/Shrink,automatable,,
Solaris Printer Queue Addition,automatable,,
System Performance Report,automatable,,
Server Capacity Planning Report,automatable,,
Allow/Deny PORTS - iptables - LINUX,automatable,,
Modify System Configuration Files ex: /etc/hosts,automatable,,
Auto AD User Object Export,automatable,,
ACD Monthly Report,automatable,,
Computer Objects Report,automatable,,
Disk Capacity Report,automatable,,
Server Auto Services health Check,automatable,,
Server Uptime report,automatable,,
AD Replication Alerts,automatable,,
Folder Permissions Report,automatable,,
AD User Expiry Report,automatable,,
VM Snapshot Report,automatable,,
VDI Concurrent User Count,automatable,,
AD user dump,automatable,,
ACD Weekly Report,automatable,,
Storage Raw Capacity,automatable,,
Daily Health Check,automatable,,
Snap-mirror Status,automatable,,
Snap-Vault Status,automatable,,
NetApp SnapShot alerting for Backups,automatable,,
VMware Health Check,automatable,,
Critical Event monitoring,automatable,,
Access (Full Access/ Send As/Send on Behalf of mailbox,automatable,,
Volume Creation,automatable,,
Volume Expansion ,automatable,,
Database growth monitoring,automatable,,
SQL and related services health check,automatable,,
Free Disk Space Check-up - SQL,automatable,,
SLA Monitoring,automatable,,
Preparing Monthly Network Availibilty report,automatable,,
Preparing LAN WAN internet Availiblity reports,automatable,,
Preparing Weekly Outage Reports with justification,automatable,,
Preparing Monthly Outage Reports with justification,automatable,,
DNS server  update on Network Devices,automatable,,
DHCP Server update on Network Devices ,automatable,,
Software upgrade in Juniper Virtual Chasis,automatable,,
"User accounts - like create ,delete using oracle query",automatable,,
Grant access rights - access rights to user using oracle query,automatable,,
Manage user Profiles/Policies  - using grant like queries,automatable,,
Wait events,automatable,,
shutdown database for OS Patching,automatable,,
Startup database for OS patching,automatable,,
Outlook profile corrupted/ OST files/ unable to send emails/Unable to open the outlook,automatable,,
Admin Window,automatable,,
Service Restart,automatable,,
Exchange Application Health,automatable,,
Lync Server Services Health check,automatable,,
MDM Afaria Health Check,automatable,,
MDM Good Mobile Health Check,automatable,,
SharePoint Checking Site Availability,automatable,,
SharePoint Site Availability (Health Check),automatable,,
Creating SharePoint Site Collection on Dev ,automatable,,
Creating SharePoint Site Collection on QA,automatable,,
Creating SharePoint Site Collection on Production ,automatable,,
Database monitoring,automatable,,
Disk Space Monitoring and Troubleshooting,automatable,,
I/O bottlenecks Monitoring and Troubleshooting,automatable,,
Create DB maintenance plans,automatable,,
Create SQL Server Jobs to automate application activities,automatable,,
Perform disk space requirement analysis,automatable,,
Manage Traces,automatable,,
Enabling/Disabling audits,automatable,,
CPU usage,automatable,,
Memory usage,automatable,,
Error logs Validation for critical errors,automatable,,
Database file growth rate,automatable,,
Transaction log file growth rate,automatable,,
Deadlocks,automatable,,
SQL Agent job status,automatable,,
SQL and related services,automatable,,
Manage performance metrics (create/modify thresholds),automatable,,
Data/Log file free space,automatable,,
Capturing performance parameters,automatable,,
Blocking analysis,automatable,,
CPU utilization by SQL server processes,automatable,,
Memory utilization for SQL server processes,automatable,,
Number of sessions,automatable,,
Top n SQL queries,automatable,,
